description,label,releasetime,title
中国央行连续第三天调降人民币中间价，且离岸资金外流又出现活络迹象，人民币兑一篮子货币的贸易加权汇率，周三已跌至空前...,,2017-04-27 16:00,加拿大丰业银行：人民币年底或贬至7.10水平
周四(4月27日)亚太时段，多数新兴亚币兑美元走软，因美国总统特朗普税改计划并未如预期提振投资者信心，市场风险偏好依旧...,,2017-04-27 15:59,新兴亚洲货币表现疲软 谨慎情绪静待欧央行利率决议
今天上午，根据巴克莱银行（Barclays）公布的一项调查显示，英镑疲弱刺促使更多海外游客计划到英国旅游，英国人则更不愿意出...,,2017-04-27 15:38,调查：英镑疲弱利好英国旅游业
美东时间周三中午，美国总统特朗普在与墨西哥和加拿大领导人通电话后表示，同意暂时不终止北美自由贸易协定(NAFTA)。,,2017-04-27 15:15,又玩了一把！特朗普暂时不终止北美贸易协定
特朗普政府周三(4月26日)公布了所谓的美国历史上“规模最大的减税计划”，但公布内容只有要点，如何通过立法，如何具体实施...,,2017-04-27 14:36,NCL：税改计划空洞无物 美元或将继续承压
周四（4月27日），因早间有报道称美国总统特朗普将暂不终止北美自由贸易协定，加元和墨西哥比索短线大幅飙升，美元兑加元脱...,,2017-04-27 14:20,特朗普暂不终止北美自贸协定 墨西哥比索及加元闻讯飙升
周四亚盘，有消息称美国总统特朗普目前不终止北美贸易协定，美元兑加元短线大幅下挫逾100点，法农认为，特朗普总统似乎淡化...,,2017-04-27 14:14,法农：贸易紧张局势打压加元 仍不宜追多美加
北京时间周四（4月27日）19:45，欧洲央行将公布利率决议；稍后20:30，有“超级马里奥”之称的欧洲央行行长德拉吉将召开新闻发...,,2017-04-27 14:14,欧银决议重磅来袭 看投行如何交易欧元？
周四(4月27日)19：45，欧洲央行将公布最新的利率决议。市场普遍预期欧银将按兵不动，但有可能将紧缩性货币政策提上日程。,,2017-04-27 14:06,欧洲央行决议按兵不动的三大理由！
据路透报道，周四（4月27日）午后公布的调查显示，德国消费者信心在即将进入5月之际，回升力度大于预期，因相信德国经济正在...,,2017-04-27 14:03,德国5月GfK消费者信心指数升至10.2 因经济前景向好
据路透报道，新加坡金管局(MAS)周四预测，新加坡将持续温和且不均衡的经济成长，就业市场疲软、企业租金下滑及经济信心偏软...,,2017-04-27 13:43,新加坡金管局：GDP增速料将保持温和
据路透报道，周四（4月27日）亚市早盘，人民币兑美元即期走贬，中间价跌至两周新低。交易员称，尽管美国总统特朗普减税计划让...,,2017-04-27 13:41,人民币早盘走贬 短期料仍难突破区间盘整
隔夜，各界期盼已久的美国史上“规模最大的减税计划”终于揭开了神秘面纱，虽然计划存在不少亮点，但市场认为计划大纲缺乏新...,,2017-04-27 12:19,特朗普税改落地市场却不领情 今晚德拉吉的好戏将开场
北京时间周四（4月27日）日本央行结束为期两天的货币政策会议，宣布维持政策利率在-0.1%不变，符合市场预期；维持10年期国债...,,2017-04-27 11:32,日银决议维稳不变下调今年通胀预期 美/日反应平淡
周四，FXStreet首席分析师Valeria Bednarik撰文就欧元/美元最新走势进行了分析。,,2017-04-27 11:15,今日欧元/美元最新技术面分析
外界普遍预期日本央行将在周四的政策会议上按兵不动。,,2017-04-27 10:43,央行政策会议在即 日本的等待还要多久？
据路透报道，周四（4月27日）早盘，美元兑日圆守住涨幅，此前美国总统特朗普的税改计划未带来惊喜，令美元涨势停止。市场等待...,,2017-04-27 09:39,美税改计划令人失望但美元守住涨幅 聚焦欧银决议
据路透报道，欧洲央行周四料坚定维持超宽松政策立场不变，但可能表示经济增长前景好转，为发出最早在6月最终削减刺激的信...,,2017-04-27 09:22,欧银决议料维持政策不变 但可能为6月缩减刺激埋伏笔
据路透报道，多位官员称，巴西可能最快在下月决定加入经济合作暨发展组织(OECD)。巴西是拉美最大的经济体，总统特梅尔(Mic...,,2017-04-27 09:06,巴西考虑加入OECD 冀望借此安抚投资者
周四，将迎来欧洲央行利率决议，这是本周影响欧元走势重磅事件之一。投资者需要重点关注。尽管欧洲央行料不会因大选结果转...,,2017-04-27 08:42,欧银决议来袭是鹰或鸽？ 汇市该如何交易
当地时间周三下午1点30分，白宫正式公布特朗普此前宣扬的税改法案，一如此前财政部长努钦证实的那样特朗普的税收计划将联...,,2017-04-27 06:47,夜盘综述:川普发布史上最强税改计划 美国贸易保护升级
白宫就朝鲜问题发布声明，特朗普政府的高级官员周三在一份声明中称，特朗普总统希望通过更严厉的制裁和外交渠道向朝鲜施...,,2017-04-27 05:49,特朗普仍对朝核会谈持开放态度 但准备保护自己和盟友
当地时间周三下午1点3分，特朗普政府正式公布了此前宣扬的税改法案，一如此前财政部长努钦证实的那样特朗普的税收计划将...,,2017-04-27 01:52,川普税改正式浮出水面 个税7档减为3档企业税降至15%
欧洲央行预计不会在2017年4月会议上改变其政策。然而，欧洲央行经常性的会推动市场波动，这次会议也不会例外。关键在欧洲央...,,2017-04-26 23:30,法国一轮大选结果会否让德拉吉鹰声嘹亮？
法国大选第一轮投票结束后，全球市场都松了一口气。根据民调结果来看，马克宏要赢得第二轮投票已经是十拿九稳。,,2017-04-26 21:47,马克宏上台不会风平浪静 国会选举是第一道坎
北京时间周三晚间，美国财长努钦发表讲话，确认企业税将降至15%，他将于特朗普经济顾问科恩一起于美东时间下午1:30（北京时...,,2017-04-26 21:20,降低美国企业税至15%！凌晨发布会公布具体细节
周三欧盘，英镑兑美震荡元下跌，在英国周五公布第一季国内生产总值(GDP)数据前缺乏方向。,,2017-04-26 21:15,法兴：英镑兑美元可能即将见顶
前美联储主席柏南克近日接受纽约时报专访时表示，估计先前特朗普所声称的大规模减税、放松金融监管、扩大基础建设等承诺，...,美联储,2017-04-26 20:27,前美联储主席伯南克畅谈特朗普经济学
自金融市场相继经历了荷兰大选和法国首轮大选后，欧盟的政治不确定性已经开始消散。分析师表示欧洲政治仍是个问题，欧洲央...,,2017-04-26 19:28,别想太多！法国大选不会改变欧央行的宽松立场
周三(4月26日)欧市盘中，美元/日元震荡走高，日内最高升至111.50！摩根大通表示，由于围绕法国大选和朝鲜问题的焦虑已缓解...,,2017-04-26 19:21,摩根大通：美元/日元年内目标直指105
今日欧盘，英镑兑美元最低触及1.28后反弹，目前交投于1.2825附近。建议在1.2760-1.2780做多英镑兑美元，止损1.2710，目标1....,,2017-04-26 18:42,短线速递：英镑兑美元或将冲击前高
今日欧盘，欧元兑英镑震荡下跌，目前交投于0.8495附近。近期可以在区间下沿择机做多，目标则看向于区间上沿0.8780。,,2017-04-26 17:52,长线展望：欧元兑英镑维持区间震荡
加拿大丰业银行(Scotia Bank)周三(4月26日)发表观点称，预计欧洲央行本周将“放鸽”。,,2017-04-26 17:04,丰业银行：料欧洲央行本周将“放鸽”
“中巴友谊万岁”绝不是一句空话，中国和巴基斯坦人民之间的感情就像钢铁般的坚强，这就是“巴铁”。在“一带一路”发展中，中国...,,2017-04-26 16:28,中国10亿美元资助巴基斯坦避免一场货币危机
随着法国大选第二轮投票的日益临近，极右翼总统候选人勒庞试图软化自己在欧洲方面的立场。勒庞还坚称感到自己是欧洲人，能...,,2017-04-26 15:55,勒庞态度软化！矛头直指马克宏太软弱
周二亚盘，欧元兑美元于平盘附近窄幅震荡后持续回落，现交投于1.0925附近。,,2017-04-26 15:22,法农：欧元未来还得看德拉基立场
多家美国媒体25日援引华尔街分析师观点称，现任白宫国家经济委员会主席，高盛(Goldman Sachs)前高管加里·科恩（Gary Cohn...,美联储,2017-04-26 15:21,前高盛高管或将接替耶伦成新一届美联储主席
本周法国大选第一轮过后市场风险情绪消散，周三(4月26日)推高欧元/美元亚盘末刷新今年迄今高点1.0950附近。,,2017-04-26 15:21,最新欧元技术分析
路透社周二(4月25日) 撰文称，随着法国紧张情绪降温，料促成欧洲央行6月扭转政策措辞。,,2017-04-26 15:13,法国紧张情绪降温或让欧银6月扭转政策措辞？
由于与美国之间的利差扩大，港元正以14个月来最快的速度下跌。分析师预计，年内港元最低可能触及7.79的水平。,,2017-04-26 15:11,利差扩大！港元加速下跌创一年新低
一股通货膨胀的浪潮正快速通过金融体系。,,2017-04-26 15:10,月印钞2000亿美元 通胀浪潮席卷全球金融系统
近期欧元区的经济数据令人鼓舞。生产、制造和信心均表现强劲，通胀也已经企稳。但下行风险依然存在，比如不断增长的民粹主义...,,2017-04-26 15:00,市场在左右摇摆之际迎来欧央行决议
周三早间公布的数据显示，澳大利亚第一季度CPI年率为2.1%，虽然不及市场预期的2.2%，但CPI年率已达到自2014年第三季度以来...,,2017-04-26 14:34,澳大利亚CPI创两年半新高！仍未排除降息可能
据《华尔街日报》援引一名白宫官员的消息称，特朗普计划本周三公布的税改方案提出，将税赋转由合伙人缴纳的公司最高税率由...,,2017-04-26 14:19,特朗普税改方案提前剧透
据路透社消息，随着英国脱欧日益临近， 跨国银行正在认真考虑将岗位迁至徳国的法兰克福，这里也是全球有名的金融中心。,,2017-04-26 14:12,脱欧日益逼近 多家跨国银行准备撤离至法兰克福
瑞穗银行（MHCB）周二(4月25日)发表观点称，人民币隐含波动率降至“8.11”汇改来新低，我们认为汇率短期风险消除。,,2017-04-26 14:07,瑞穗银行：人民币汇率短期风险消除
备受关注的法国大选第一轮终于落下帷幕。并不出乎意外，两位此前就高居民调榜前两名的总统候选人——“非左非右”的“前进”运...,,2017-04-26 13:55,法国大选第二轮投票马克龙真的胜券在握？
去年特朗普当选美国总统给美元带来了一波大牛市，今年年初，美元指数曾经创下2002年以来的逾14年高位103.82。但如今，美元...,,2017-04-26 13:47,预言成真！美元阶段性拐点已经确立？
周三（4月26日）本周已经悄然过去两个交易日，周一（4月24日）受到法国大选利好的风险情绪继续蔓延，风险资产涨声一片，欧美股...,,2017-04-26 13:36,汇市观潮：聚焦下半周重要事件
据路透报道，从樱桃、红酒到石油，加拿大握有多种工具来报复美国特朗普政府发动的任何贸易打击。然而，这些手段不是效果太有...,,2017-04-26 13:34,美加或爆发贸易战 加拿大会否无力招架？
巴克莱资本(Barclays Capital)周三(4月26日)发布分析报告称，料日本央行本周会维持货币政策不变。,,2017-04-26 12:42,巴克莱资本：日本央行料将维持货币政策不变
据路透报道，周三（4月26日）亚市早盘，人民币兑美元即期延续横盘整理，中间价则微跌。交易员称，近期人民币走势完全独立，客盘...,,2017-04-26 12:24,人民币早盘横盘整理 短期汇价料将持稳
据周三路透调查显示，韩国4月出口料连续第六个月增长，因对高科技记忆体晶片(存储器芯片)的需求增加，且全球经济普遍复苏...,,2017-04-26 12:14,调查：受强劲半导体需求提振 韩国4月出口料上涨
"今年1月9日,阿里巴巴集团（纽约证券交易所股票代码：BABA）创始人马云在纽约会见了特朗普,在长达40分钟的会面中,两人主要...",,2017-04-26 12:14,马云实现对特朗普的承诺——买美国货并创造100万岗位
美国总统特朗普将在周三（4月26日）公布其自称为美国30年来最大规模的税改调整计划，若 其披露的内容多于市场预期且市场认...,,2017-04-26 12:00,汇丰：美元将被这两座大山压垮！
据彭博社消息，现任联合国助理秘书长、联合国贸易和发展会议青年创业和小企业特别顾问的马云，周二(4月25日) 在联合国日内...,,2017-04-26 11:50,马云：把“印度支付宝”带到非洲
备受瞩目的法国总统大选首轮投票对市场带来的影响渐渐消散，但市场行情却似乎并不淡静，反而愈发惊心动魄！期待已久的特朗...,,2017-04-26 11:44,美30年来最大税改将揭开面纱 特朗普又要掀起市场大浪
作为阿里巴巴集团董事局主席、日本软银董事，马云一直在用实际行动为中小企业发展尽职尽责。周二(4月25日) 他在联合国日内...,,2017-04-26 11:30,马云：可以和政府恋爱，但绝不能结婚
阿里巴巴集团董事局主席、日本软银董事马云以其电商经济让全球认识了他。半年前，他曾被委任为联合国助理秘书长，然而却迟...,,2017-04-26 11:07,马云正式在联合国“打卡上班”
根据一项访问分析师和经济学家的路透调查显示，俄罗斯今年的经济增速可能没有官员预期的那么快，通胀率预计也不会放缓至...,,2017-04-26 10:50,路透调查：俄罗斯今年经济料将增长1.1%
周三亚市早盘，澳大利亚公布第一季度CPI年率不及预期，澳元承压短线滑落近40点，刷新四个交易日低位至0.7509，直逼0.75关口...,,2017-04-26 10:45,通胀数据不佳 澳洲联储料不改变降息步伐  澳元遭打压
根据咨奔商务咨询(Z-Ben Advisors)日前做出的排名显示，摩根大通（JPM）日前被评为中国最佳外国资产管理公司，瑞士的瑞银(...,,2017-04-26 10:39,摩根大通获中国最佳外国资产管理公司殊荣
日前美国对加拿大原木贸易下重手，大幅提高进口木材税收，美国与加拿大两国贸易摩擦加剧重创加元汇率，昨日加元汇率跌至1...,,2017-04-26 10:30,美加两国“软木战”升级 美元/加元拿下1.40指日可待
据路透报道指出，德意志资产管理(Deutsche Asset Management)投资长Stefan Kreuzkamp表示，该公司对欧洲股票的立场已由“...,,2017-04-26 10:28,法国大选首轮投票后 德意志资产管理看多欧股
欧洲央行27日（周四）将举行议息会议，会后行长德拉吉将举行新闻发布会。市场一致预期，欧元区经济复苏形势向好且通胀率不断...,,2017-04-26 10:17,美银：欧洲央行本周不会有意外 宜做多欧元/日元
美股周二（4月25日）大涨，道指连续第二日涨超200点，纳指新高突破6000点，欧股涨至20个月高位。汇市方面：美元回落，欧元大涨...,,2017-04-26 09:59,周二欧美市场盘述：纳指创新高，欧元大涨原油止跌
周三（4月26日）亚市盘中，澳大利亚公布的第一季度CPI数据不如预期，较上年同期上升2.1%，略低于市场预估的2.2%。但已达到20...,,2017-04-26 09:54,澳洲CPI不及预期但年率创2014年最高  澳元小幅下跌
据路透报道，周二，欧洲央行(ECB)公布的调查显示，欧元区银行业者第二季料进一步增加放贷，尽管欧洲央行超宽松货币政策损及...,,2017-04-26 09:18,调查：欧元区银行放贷料增加 但央行宽松政策打压获利
据路透报道，周三（4月26日)早盘，日元小跌，走势依然承压，因法国总统大选第一轮投票结果令人宽慰，从而改善冒险意愿并削弱...,,2017-04-26 09:13,因风险意愿复苏 日元下跌处于守势
据路透报道，美国总统特朗普手下两名负责税务政策的高官周二在国会山与资深议员会面。华盛顿方面正在探究特朗普税改计划...,,2017-04-26 09:08,特朗普政府税务高官将向国会介绍税改计划
周二，英镑兑欧元跌至两周低位，因在法国总统选举首轮投票过后，投资者释然，对欧洲的看法变得乐观，欧元重拾涨势。,,2017-04-26 07:26,英镑/欧元触及两周低位 因两大重磅消息提振欧元
周二，美国总统特朗普声称要对其北方邻居加拿大软木材征收20%的关税。加拿大总理特鲁多称加拿大将坚决而合理的还击。牛奶...,,2017-04-26 01:56,木材关税让美元/加元飙升涨破1.36 下一步将涨至1.40？
北京时间周二晚上10点，美国公布的官方数据显示，美国3月新屋销售大涨5.8%，涨幅超过预期，3月份的数据触及了八个月以来的...,,2017-04-25 23:41,美国3月新屋销售跳涨5.8%创8个月新高 美元冲高回落
周二欧盘，欧元兑美元徘徊在1.09整数关口下方。,,2017-04-25 21:56,欧元短期涨势或将于1.10受阻
FXStreet金融市场分析师Haresh Menghani周二(4月25日)发布汇市分析报告，就镑走势作出技术前瞻分析。,,2017-04-25 21:04,FXStreet：英镑有效突破1.2850则短期看涨
根据上周五(4月21日)的官方数据显示，2016年是希腊在近21年中，首次实现整体预算盈余，其中还计入了债务偿还，远远超过了国...,,2017-04-25 20:56,希腊危机警报解除？财报显示预算盈余远高于目标
摩根大通在报告中称，在4月初我们曾表示英镑通常会在4月份走强，这似乎是一种传统。过去12年中，英镑兑美元平均月度涨幅为...,,2017-04-25 20:03,小摩：预计英镑4月份上涨的传统在继续
渣打银行（Standard Chartered Bank）周二(4月25日) 发布分析报告称，我们认为欧元区通胀上行仍有压力，预计欧元区经济将继...,,2017-04-25 19:53,渣打银行：欧元区通胀上行压力犹存
据美国媒体报道，中国消费者对于发达国家经济增长做出了必要的贡献，尤其是在奢侈品消费领域，中国消费者是重要的客户群体...,,2017-04-25 19:48,中国消费者称全球奢侈品消费的主力军
据上周五的官方数据显示，去年希腊在21年中首次实现整体预算盈余，其中还计入了债务偿还，远远超过了国际债权人对该国的预...,,2017-04-25 19:27,希腊经济回暖？预算盈余远超预期
周二，由于欧元恢复强势，欧元兑英镑继续走强。在法国第一轮总统选举投票后，投资者对欧洲的看法更为乐观。,,2017-04-25 18:25,欧元保持强势！周内关注英国数据
丹斯克银行(Danske Bank)在周一(4月24日)发布的客户报告中称，欧洲央行行长德拉基(Mario Draghi)料将在本周央行会议后发...,,2017-04-25 18:21,丹斯克银行：欧洲央行料扔按兵不动
据CNBC援引美国政经网站Politico报道称，当地时间周一下午，美国总统特朗普称愿意将边境墙修建计划延缓到9月，来避免政府...,,2017-04-25 18:05,推迟修墙计划 特朗普集中精力应付“停摆”危机
周二，英国官方公布的数据显示，2016-17财年，英国公共财政基本达到预算目标。,,2017-04-25 17:58,英国上一财年赤字创金融危机以来最低
美银美林(BofA)周一(4月24日)发布报告称，尽管预计美联储(FED)年内还有两次加息，但我们认为6月份加息的可能几乎为零。,美联储,2017-04-25 17:45,美联储6月加息？美银美林认为概率近乎为零
民币兑美元即期周二(4月25日)近收平，实际波动区间极窄；中间价则创逾一个半月最大单日跌幅。在岸人民币兑美元16:30收盘报...,,2017-04-25 17:37,美元走弱带动人民币窄幅震荡
今日欧盘，澳元兑纽元强势上涨，目前交投于1.0830附近。 建议在1.0805-1.0820做多澳元兑纽元，止损1.0750，目标1.0920。,,2017-04-25 17:18,短线速递：澳元兑纽元看向1.0920
据彭博社消息，美国交通部长赵小兰周二(4月25日)表示，特朗普政府1万亿美元规模的基建方案或将于今年夏季发布。,,2017-04-25 16:53,美国交通部长：1万亿美元的基建方案将很快推出
目前市场一致预期，鉴于法国大选风险因子消散，欧洲央行应该顺势提前退出QE，不过IMF首席经济学家 Obstfeld认为，欧洲央行...,,2017-04-25 16:30,欧洲央行退出QE还言之过早  必要时应该加码？
据路透社报道，沙特国王上周六(4月22日)颁布谕令称，将恢复针对公务员和军队人员的全部津贴、财政补助和奖金。,,2017-04-25 16:29,沙特为何要宣布取消减薪计划？
周二欧市盘，欧元兑美元小幅走高至1.08900水平附近，日内涨幅0.22%。 北京时间周四(4月27日)19:45欧洲央行将公布4月利率决...,,2017-04-25 16:19,渣打：欧央行本周料按兵不动  6月将有行动
英国工业联合会最新公布的月报显示，英镑贬值对出口构成巨大提振，而德勤公布的一项调查显示，同样由于汇率波动引发的通胀...,,2017-04-25 16:14,英镑贬值有利有弊！英国经济走在十字路口
据华尔街日报报道，美国总统特朗普（Donald Trump） 已命令白宫助手起草税务改革计划，将企业所得税率降至15%，尽管这意味着...,,2017-04-25 15:22,华尔街日报：特朗普拟将企业所得税率降至15%
周二，法国巴黎银行(BNPP)外汇策略研究指出，市场仍大幅做空英镑，暗示在空头进一步回补的支撑下，英镑的涨势料持续。,外汇,2017-04-25 15:11,法巴银行：英镑空头回补 后市继续看涨
如今，欧元区情况看起来不错，并且一切的机会都显示这种情况会持续下去。,,2017-04-25 15:03,欧元区突然间云开雾散 欧央行政策有望转变
据路透社报道，商业房地产咨询机构仲量联行（JLL）周一(4月24日)发布报告称，预计美国银行业5年内或裁减20%分支机构。,,2017-04-25 14:52,JLL：预计美国银行业5年内将裁减20%分支机构
周一法国大选结果尘埃落定，市场对此暂缓口气，欧元兑美元开盘曾触及1.0930的高点。,,2017-04-25 14:48,欧元区政治风险消散！市场焦点转向周四欧央行决议
据CNBC报道，美国商务部长威尔伯-罗斯（Wilbur L. Ross）周一(4月24日)称，将对自加拿大进口的软木材征收平均20%的反倾销税...,,2017-04-25 14:43,美国将对加拿大征反倾销税 加元兑美元汇率大跌
今年是欧洲命运多舛的一年，刚刚过去的法国大选没有出现大家担忧的黑天鹅事件，不过瑞银集团指出，虽然法国大选风险暂时熄...,,2017-04-25 14:36,瑞银：法国之后欧洲还有两个火药桶在膨胀
本周六，如果国会不通过支出法案批准拨款，或者特朗普总统不签字，特朗普政府可能关门。而4月29日（周六 ）时特朗普总统上台...,,2017-04-25 14:00,为了避免政府关门！ 特朗普愿意延迟边境修墙计划
周二亚市欧元兑美元小幅下挫后反弹，现围绕1.08660窄幅震荡，法国大选风险暂时解除，目前市场焦点转向欧洲央行利率决议。,,2017-04-25 13:49,法农：欧元能否冲关拔寨 重点在欧洲央行
周二亚市美元指数震荡走高至99.150水平附近，英镑兑美元小幅拉升至1.28010带，，欧元兑美元围绕 1.08660窄幅震荡，大华银行...,,2017-04-25 13:39,大华银行：欧元、英镑、澳元、日元技术分析
周二亚市澳元/美元震荡回落，交投于0.75540附近，花旗集团认为短期澳元趋于上行，本周需要关注通胀数据表现。,,2017-04-25 11:08,花旗：澳洲通胀数据将令澳元走高
美元/加元周二(4月25日)亚市早盘大幅走高，汇价刷新4个月高位1.3553，涨幅0.39%。消息面，美国将向进口的加拿大软木材新征...,,2017-04-25 10:56,贸易战开打?特朗普对加拿大出重手  加元遭重挫
周二亚市 美元兑日元短线冲高逾20点，上破110整数关口，刷新日高至110.16，涨幅约0.31%。日本央行本周四(4月27日)将公布利...,,2017-04-25 10:45,野村：日本央行料按兵不动 对日元影响温和
目前，欧盟一体化遭到了挑战，显示英国成功脱欧，现在如果勒庞当选，法国也许难逃脱欧的命运。但是土耳其却在为加入欧盟积极...,,2017-04-25 10:25,英国法国都在忙着退欧 土耳其却急着往里冲
法国大选第一轮，英镑短线受益走高，目前有所回落。投行巴克莱就分析表示，英镑是被低估的，马克龙若当选会刺激英镑升值。法...,,2017-04-25 09:44,巴克莱和法兴都看涨英镑 关注一季度GDP指引
就在债务上限风险上升，美元走低之际，美联储6月加息概率却一夜之间飙升至69%，这是为何？,美联储,2017-04-25 06:48,债务上限风险已迫在眉睫 美联储6月加息概率却飙升了
周一欧元/美元的跳空上涨让欧元站上了200日均线，这是2016年10月以来的第一次。如果接下来的几天，欧元/美元能守住这一堡...,,2017-04-25 05:07,法国一轮选举拉开了欧元趋势性反转的序幕？
美国总统特朗普和美联储的关系已经开始有些进化了，说的婉转些是改善。作为候选人时特朗普讨厌美联储，如今这位已经入住白...,美联储,2017-04-24 23:40,特朗普突然发现 他自己很需要曾经他讨厌的美联储
在本周四于法兰克福召开的会议上，或许可以看到正式开始讨论刺激措施的推出机制。,,2017-04-24 21:45,欧央行将加快退出宽松？本周四即将揭晓
"据路透社报道，根据地产网站Rightmove的数据，4月份平均卖方索价升至313,655英镑这一历史最高值，环比上涨了1.1%，但2.2%的...",,2017-04-24 21:30,惊！英国房屋索价升至历史最高
野村证券（Nomura security）周一(4月24日)发布汇市分析报告称，当前欧元区经济基本面明显向好，支持欧元走强。,,2017-04-24 21:22,野村：欧元区经济向好，欧元年末将测试1.15
德国商业银行（Commerzbank）周一(4月24日)发布分析报告称，英镑/美元位于1.2615上方仍维持看涨观点。,,2017-04-24 21:15,德商银行：镑/美在1.2615上方维持看涨
道明证券 (TD Securities)周一(4月24日)指出，随着法国第一轮大选结束，政治风险很可能将消失，1月初的1.0341低点越来越可...,,2017-04-24 21:03,道明证券：1.0341低点或是欧元/美元的底部
英国将在?6月8日举行国会大选，多个民调显示，首相特瑞莎?梅领导的执政保守党的支持率高达45%至50%，比主要反对党工党多出...,,2017-04-24 20:53,英国保守党支持率远超工党 仍需谨防黑天鹅
周一(4月24日)，FXStreet金融市场分析师Haresh Menghani撰文就日内欧元走势作出技术前瞻分析。,,2017-04-24 20:36,FXStreet前瞻：欧元回吐说明乐观情绪已被消化？
丹斯克银行（Danske Bank）周一(4月24日)发表观点称，鉴于23日法国大选首轮投票结果揭晓，马克龙和勒庞顺利进入第二轮终极...,,2017-04-24 20:22,丹斯克银行：鉴于法国大选结果坚定看多欧元
徳国国家统计局周一(4月24日)公布的一项调查显示，德国4月企业信心好于预期，触及近6年高位。,,2017-04-24 19:52,德国4月IFO企业景气判断指数刷新近6年高位
据彭博社报道，阿迪达斯（Adidas）CEO罗思德（Kasper Rorsted）周一(4月24日) 表示，就目前而言，我认为制造业大举回流美国是...,,2017-04-24 19:26,阿迪达斯CEO：制造业大举回流美国是幻想
韩国进出口银行（Korea Eximbank）周一(4月24日)发布数据显示，2016年韩国对外直接投资从2007年的231亿美元增至352亿美元...,,2017-04-24 19:20,韩国对华投资大幅减少 美国和越南成其投资首选地
今日欧盘，美元兑加元受到油价上涨压制，持续下跌，目前交投于1.3415附近。建议在1.3450上方做空美元兑加元，止损1.3530，目...,,2017-04-24 18:19,短线速递：美元兑加元1.3450上方做空
尽管当前全球的目光都锁定在欧洲大选年的那几个国家，但瑞银集团主席Axel Weber却表示，意大利和希腊才是欧元区最关键的...,,2017-04-24 18:11,除了欧洲大选年 你最该关注的应该是意大利和希腊
在2008年金融危机震荡全球近九年之后，世界经济终于走出谷底，全面回暖。不过，本轮经济复苏仍处在初期，脆弱性不容忽视。但...,,2017-04-24 17:56,世界经济八年来首次回暖！仍需警惕风险因素
据《华尔街日报》报道，美国白宫行政管理和预算局局长米克-马尔瓦尼周一(4月24日)表示，白宫将于26日公布美国税制改革的具...,,2017-04-24 17:51,白宫发言人：特朗普将公布税改方案，细节6月份公布
